DIFF_FROM_NEIGHBOR_AVE_LIST_PRICE,HOA_FEES,YRS_SINCE_REMOD,AGE_OF_HOME,PROPERTY_TYPE_Condo/Co-op,PROPERTY_TYPE_Multi-Family (2-4 Unit),BTH_STYLE_M,KITCH_STYLE_M,trend
-701344.096196868,220.0,3.0,148.0,1,0,1,1,53.82884980492944
-731344.096196868,275.0,2.0,139.0,1,0,1,1,52.502177730649684
-521344.096196868,430.0,13.0,129.0,1,0,1,0,53.82884980492944
-168824.10777626198,200.0,7.0,114.0,1,0,1,1,52.12104274268022
-113824.10777626195,200.0,2.0,139.0,1,0,1,1,52.12104274268022
-213924.10777626198,150.0,33.0,119.0,1,0,0,0,52.82029713961896
-23924.107776261983,205.0,2.0,2.0,1,0,1,1,52.12104274268022
765594.262228261,0.0,8.0,159.0,0,1,1,0,52.82029713961896
-584405.737771739,177.0,36.0,129.0,1,0,1,1,52.12104274268022
51372.728155339784,0.0,3.0,109.0,0,1,1,1,53.84929272353954
-99727.45945945947,0.0,62.0,62.0,0,0,0,0,53.45752870357929
-120346.48575949365,268.0,6.0,6.0,1,0,1,1,52.82029713961896
-369446.48575949366,200.0,3.0,99.0,1,0,1,1,53.84929272353954
-670405.737771739,157.0,35.0,119.0,1,0,0,0,52.502177730649684
-550405.737771739,215.0,11.0,169.0,1,0,0,1,52.502177730649684
-580405.737771739,150.0,2.0,109.0,1,0,1,1,52.502177730649684
-589505.737771739,161.0,5.0,109.0,1,0,1,1,52.82029713961896
-400405.73777173896,242.0,6.0,119.0,0,0,1,1,53.17250077097781
-584405.737771739,200.0,34.0,109.0,1,0,1,1,52.12104274268022
-410405.73777173896,365.0,42.0,119.0,1,0,0,1,52.82029713961896
385594.2622282609,1496.0,16.0,16.0,1,0,1,1,53.73336218674199
-74412.41870824057,0.0,44.0,64.0,0,0,0,0,52.12104274268022
-122712.03658536587,412.0,9.0,9.0,0,0,1,1,52.12104274268022
-227529.16197183105,150.0,7.0,114.0,1,0,1,1,53.54438576992164
-162629.161971831,0.0,3.0,104.0,0,0,1,1,53.658885394781244
1689655.9038031318,1648.0,18.0,144.0,1,0,0,1,52.82029713961896
-15727.459459459467,0.0,39.0,34.0,0,0,1,1,52.12104274268022
-104824.10777626195,200.0,19.0,114.0,1,0,0,0,52.502177730649684
65587.58129175943,268.0,11.0,11.0,0,0,1,1,53.44233391370959
485594.26222826104,345.0,13.0,109.0,1,0,1,1,52.502177730649684
179594.26222826098,200.0,17.0,17.0,1,0,1,1,53.17250077097781
589247.7131313131,0.0,6.0,122.0,0,0,0,0,53.44233391370959
-310405.73777173896,621.0,12.0,95.0,1,0,1,1,52.502177730649684
329653.5142405064,0.0,7.0,129.0,0,0,1,1,52.82029713961896
-120752.28686868688,0.0,69.0,69.0,0,0,0,0,53.658885394781244
-256138.0294117647,0.0,3.0,69.0,1,0,1,1,53.44233391370959
-313529.161971831,221.0,13.0,13.0,1,0,1,1,53.17250077097781
-337503.5923344948,342.0,34.0,99.0,1,0,1,1,52.502177730649684
-188503.5923344948,512.0,14.0,92.0,1,0,1,1,52.12104274268022
-173512.41870824056,0.0,74.0,74.0,0,0,0,0,53.44233391370959
-99827.45945945947,0.0,79.0,79.0,0,0,0,0,53.45752870357929
-132629.161971831,0.0,49.0,114.0,0,1,0,0,53.44233391370959
66470.838028169,0.0,19.0,129.0,0,1,0,1,52.502177730649684
-43529.161971831,200.0,4.0,105.0,1,0,1,1,53.54438576992164
-307529.161971831,244.0,12.0,12.0,1,0,0,0,53.45752870357929
1385594.262228261,586.0,18.0,120.0,1,0,1,1,53.44233391370959
-73529.161971831,212.0,13.0,119.0,1,0,1,1,52.12104274268022
237370.83802816892,100.0,13.0,13.0,0,0,1,1,52.82029713961896
-192764.7543859649,0.0,2.0,119.0,0,0,1,1,53.73336218674199
86970.838028169,0.0,119.0,119.0,0,1,0,0,53.44233391370959
539655.903803132,769.0,2.0,149.0,0,0,0,0,53.54438576992164
-532405.737771739,493.0,119.0,119.0,1,0,1,0,53.658885394781244
-740405.737771739,283.0,17.0,17.0,1,0,0,0,53.54438576992164
161128.23966942145,250.0,2.0,133.0,1,0,1,1,53.84929272353954
340594.26222826104,250.0,17.0,144.0,1,0,1,1,53.44233391370959
-48853.18461538456,837.0,37.0,108.0,1,0,1,1,53.74985170016183
-510405.73777173896,339.0,14.0,120.0,1,0,1,1,53.658885394781244
289594.26222826104,167.0,9.0,154.0,0,0,0,1,53.82884980492944
-270346.4857594937,150.0,16.0,109.0,1,0,1,1,52.12104274268022
89653.51424050632,0.0,3.0,3.0,1,0,1,1,53.84929272353954
-234824.10777626198,289.0,3.0,109.0,1,0,1,1,53.74985170016183
-164824.10777626198,580.0,122.0,122.0,1,0,1,1,53.658885394781244
-94346.48575949368,0.0,19.0,129.0,0,0,1,1,53.45752870357929
-70346.48575949366,200.0,15.0,129.0,1,0,1,1,53.44233391370959
-219446.48575949366,0.0,129.0,129.0,0,1,1,1,53.17250077097781
30652.514240506338,232.0,12.0,119.0,0,0,1,1,53.44233391370959
-77529.161971831,184.0,2.0,87.0,1,0,1,1,53.73336218674199
-238824.10777626198,164.0,99.0,99.0,1,0,1,1,52.502177730649684
-338824.107776262,100.0,33.0,99.0,1,0,1,1,53.44233391370959
-203824.10777626198,285.0,19.0,139.0,1,0,0,0,52.502177730649684
-174824.10777626198,207.0,11.0,114.0,1,0,1,1,53.82884980492944
-281009.9384615384,316.0,37.0,119.0,1,0,0,1,53.658885394781244
-160009.9384615384,588.0,30.0,30.0,1,0,1,1,53.74985170016183
-142009.9384615384,655.0,30.0,30.0,1,0,1,1,52.12104274268022
111235.24561403506,0.0,19.0,129.0,0,1,1,1,53.84929272353954
-63529.161971830996,0.0,6.0,119.0,1,0,1,1,53.17250077097781
-177852.35593220335,152.0,13.0,109.0,1,0,1,1,52.502177730649684
-162764.75438596494,150.0,129.0,129.0,1,0,1,1,53.658885394781244
-559321.5864197529,427.0,67.0,67.0,1,0,0,1,52.12104274268022
441678.41358024697,1170.0,67.0,67.0,1,0,0,0,53.84929272353954
-74412.41870824057,100.0,7.0,7.0,0,0,1,1,53.44233391370959
62470.838028169004,0.0,119.0,119.0,0,1,1,1,53.82884980492944
57235.245614035055,0.0,129.0,129.0,0,1,0,0,53.82884980492944
-160852.2868686869,150.0,2.0,79.0,0,0,1,1,53.84929272353954
-576421.3673469387,601.0,49.0,49.0,1,0,0,0,52.82029713961896
-240346.48575949372,150.0,114.0,114.0,1,0,1,1,53.84929272353954
423578.6326530613,1262.0,8.0,120.0,1,0,1,1,52.502177730649684
-325421.3673469387,797.0,17.0,17.0,1,0,1,1,53.54438576992164
-114405.73777173902,216.0,27.0,159.0,1,0,1,1,53.44233391370959
87370.838028169,0.0,3.0,104.0,0,1,1,1,53.54438576992164
-228824.10777626198,201.0,15.0,109.0,1,0,0,1,53.82884980492944
523578.6326530613,899.0,3.0,164.0,1,0,0,0,53.54438576992164
-244824.10777626198,229.0,17.0,109.0,1,0,1,1,53.82884980492944
-273322.58641975303,325.0,33.0,99.0,1,0,1,1,53.82884980492944
-419321.586419753,424.0,8.0,139.0,1,0,0,0,53.54438576992164
-159321.58641975306,512.0,2.0,139.0,1,0,1,1,53.54438576992164
-282539.161971831,175.0,18.0,114.0,1,0,1,1,53.82884980492944
-679321.5864197529,164.0,6.0,120.0,1,0,1,1,53.54438576992164
-309321.58641975303,300.0,45.0,139.0,1,0,1,1,53.82884980492944
89578.63265306133,855.0,2.0,119.0,1,0,1,1,53.45752870357929
-235712.0365853659,150.0,5.0,114.0,1,0,1,1,53.44233391370959
-529505.737771739,370.0,33.0,120.0,1,0,0,0,53.82884980492944
166470.838028169,250.0,3.0,3.0,1,0,1,1,53.45752870357929
312584.6282051282,0.0,30.0,109.0,0,1,0,0,53.54438576992164
-293946.4683301344,192.0,18.0,18.0,1,0,1,1,53.74985170016183
-292752.3559322033,207.0,32.0,114.0,1,0,1,1,53.82884980492944
-283446.4683301344,417.0,34.0,111.0,1,0,1,1,53.54438576992164
-43946.46833013441,272.0,9.0,134.0,1,0,1,1,53.82884980492944
164147.7131313131,0.0,3.0,3.0,0,0,0,0,53.74985170016183
-429405.73777173896,463.0,14.0,109.0,1,0,1,1,52.502177730649684
985594.262228261,212.0,2.0,120.0,1,0,1,1,53.82884980492944
-310405.73777173896,260.0,44.0,119.0,1,0,0,1,52.12104274268022
-470405.73777173896,214.0,13.0,120.0,1,0,1,1,52.12104274268022
-443321.586419753,491.0,67.0,67.0,1,0,0,0,53.44233391370959
-610405.737771739,120.0,129.0,129.0,1,0,1,1,52.82029713961896
585594.262228261,380.0,7.0,149.0,1,0,0,0,53.658885394781244
865594.262228261,1153.0,3.0,16.0,1,0,1,1,53.658885394781244
-599405.737771739,156.0,2.0,129.0,1,0,1,0,53.658885394781244
1289594.262228261,999.0,2.0,149.0,1,0,0,0,53.17250077097781
-384405.73777173896,120.0,12.0,144.0,0,0,1,1,53.82884980492944
489594.26222826104,349.0,4.0,109.0,0,0,1,1,53.82884980492944
-434405.73777173896,256.0,34.0,119.0,1,0,1,1,53.84929272353954
-31238.029411764703,0.0,7.0,99.0,0,0,1,1,53.44233391370959
189247.7131313131,0.0,3.0,99.0,0,0,1,1,53.17250077097781
-186752.2868686869,0.0,3.0,69.0,0,0,1,1,53.658885394781244
164147.7131313131,0.0,89.0,89.0,0,0,0,0,53.74985170016183
-190109.9384615384,360.0,99.0,99.0,1,0,1,1,53.74985170016183
-235109.9384615384,330.0,34.0,49.0,1,0,1,1,53.45752870357929
-190009.9384615384,582.0,30.0,30.0,1,0,1,1,53.44233391370959
-57603.59233449482,517.0,17.0,17.0,1,0,0,1,53.54438576992164
-143946.4683301344,256.0,18.0,18.0,1,0,1,0,53.84929272353954
-443946.46833013435,200.0,134.0,134.0,1,0,1,1,53.54438576992164
-247946.4683301344,160.0,11.0,134.0,1,0,1,1,53.44233391370959
-292603.5923344948,325.0,34.0,79.0,1,0,1,1,53.73336218674199
-322503.5923344948,277.0,32.0,89.0,1,0,0,0,53.44233391370959
-49827.45945945948,0.0,54.0,54.0,0,0,0,0,53.54438576992164
-166752.2868686869,0.0,144.0,144.0,0,0,0,0,53.82884980492944
-206752.2868686869,0.0,15.0,63.0,0,0,0,1,53.73336218674199
-345921.3673469387,300.0,40.0,119.0,1,0,1,1,53.84929272353954
-253686.68131868128,164.0,14.0,104.0,1,0,1,1,53.44233391370959
-64586.68131868134,269.0,19.0,119.0,1,0,1,1,53.84929272353954
-314586.6813186813,211.0,104.0,104.0,1,0,1,1,53.44233391370959
-173586.68131868134,360.0,34.0,104.0,1,0,0,0,53.658885394781244
-357946.46833013435,780.0,32.0,99.0,1,0,1,1,53.82884980492944
-311321.58641975303,935.0,15.0,109.0,1,0,0,1,53.74985170016183
660871.5397727273,1366.0,3.0,3.0,1,0,0,0,53.84929272353954
385594.2622282609,212.0,14.0,119.0,1,0,1,1,53.44233391370959
-64586.68131868134,152.0,10.0,120.0,1,0,1,1,53.82884980492944
236678.4135802469,265.0,3.0,119.0,1,0,1,1,53.54438576992164
238655.90380313198,489.0,41.0,167.0,1,0,1,1,53.44233391370959
25587.581291759445,0.0,4.0,104.0,0,0,1,1,53.84929272353954
-193512.41870824056,175.0,7.0,99.0,1,0,1,1,53.17250077097781
135587.58129175944,0.0,99.0,99.0,0,1,1,1,53.82884980492944
-74412.41870824057,155.0,3.0,109.0,1,0,1,1,53.54438576992164
-244824.10777626198,175.0,94.0,94.0,1,0,0,0,53.84929272353954
-278016.4602272727,927.0,10.0,10.0,1,0,0,0,53.84929272353954
1011983.5397727272,1370.0,3.0,3.0,1,0,0,0,53.84929272353954
-343946.4683301344,285.0,10.0,28.0,1,0,1,1,53.658885394781244
56053.531669865595,0.0,6.0,129.0,0,0,1,1,53.73336218674199
-93946.46833013439,200.0,134.0,134.0,0,0,1,1,53.658885394781244
-17946.468330134405,531.0,30.0,30.0,1,0,1,1,53.658885394781244
-433946.46833013435,127.0,4.0,119.0,1,0,1,1,53.44233391370959
-297946.4683301344,200.0,4.0,164.0,1,0,1,1,53.73336218674199
-193946.4683301344,184.0,32.0,119.0,1,0,0,0,53.82884980492944
738655.903803132,691.0,36.0,119.0,0,0,0,0,53.658885394781244
1134655.903803132,873.0,13.0,156.0,1,0,0,0,53.44233391370959
-561344.096196868,268.0,14.0,114.0,1,0,1,1,52.82029713961896
-61344.09619686799,367.0,44.0,169.0,1,0,1,1,53.658885394781244
-111344.096196868,561.0,37.0,149.0,1,0,0,0,53.74985170016183
271413.3186813186,399.0,14.0,99.0,1,0,1,1,53.44233391370959
552053.5316698656,0.0,26.0,26.0,0,0,1,1,53.44233391370959
252053.5316698656,0.0,8.0,169.0,0,0,0,0,53.73336218674199
452053.5316698657,0.0,11.0,159.0,0,0,1,0,53.44233391370959
-303946.4683301344,197.0,3.0,134.0,1,0,1,1,53.82884980492944
-342946.4683301344,353.0,34.0,111.0,1,0,1,1,53.82884980492944
-203946.4683301344,200.0,13.0,144.0,1,0,1,1,53.82884980492944
-473946.46833013435,200.0,3.0,149.0,1,0,1,1,53.54438576992164
-123412.41870824054,0.0,69.0,69.0,0,0,0,0,53.82884980492944
175587.58129175944,0.0,2.0,129.0,0,1,0,0,53.84929272353954
-423321.586419753,257.0,16.0,16.0,1,0,1,1,53.658885394781244
-658321.5864197529,474.0,69.0,120.0,1,0,0,1,53.73336218674199
656983.5397727273,2070.0,19.0,18.0,1,0,1,1,53.82884980492944
956983.5397727272,2100.0,6.0,6.0,1,0,0,0,53.658885394781244
110983.53977272732,1449.0,19.0,19.0,1,0,1,1,53.84929272353954
